Occupancy_full,LOCATION_CITY,SECTOR,CAPACITY_TYPE,PROGRAM_MODEL,Capacity
1,Toronto,Women,Bed Based Capacity,Emergency,65
1,Toronto,Men,Bed Based Capacity,Emergency,72
1,Scarborough,Mixed Adult,Bed Based Capacity,Emergency,89
1,Toronto,Mixed Adult,Room Based Capacity,Transitional,7
1,North York,Men,Bed Based Capacity,Emergency,278
1,North York,Women,Bed Based Capacity,Emergency,132
1,North York,Men,Bed Based Capacity,Emergency,6
1,North York,Women,Bed Based Capacity,Emergency,4
1,Scarborough,Mixed Adult,Room Based Capacity,Emergency,322
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,38
1,Toronto,Mixed Adult,Room Based Capacity,Emergency,155
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,83
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,49
1,Toronto,Youth,Bed Based Capacity,Emergency,45
1,Toronto,Youth,Bed Based Capacity,Emergency,23
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,30
1,Toronto,Men,Bed Based Capacity,Emergency,54
0,Toronto,Men,Bed Based Capacity,Transitional,17
0,Toronto,Youth,Bed Based Capacity,Emergency,12
0,Toronto,Youth,Bed Based Capacity,Emergency,15
1,Toronto,Women,Bed Based Capacity,Emergency,16
1,Toronto,Women,Bed Based Capacity,Transitional,20
1,Toronto,Women,Bed Based Capacity,Emergency,31
1,Toronto,Women,Bed Based Capacity,Emergency,39
1,Toronto,Women,Bed Based Capacity,Transitional,30
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,72
1,Toronto,Men,Room Based Capacity,Emergency,30
1,Toronto,Women,Bed Based Capacity,Emergency,30
1,Toronto,Women,Room Based Capacity,Emergency,33
1,Toronto,Families,Room Based Capacity,Transitional,77
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,94
1,Toronto,Families,Room Based Capacity,Transitional,27
1,Toronto,Women,Bed Based Capacity,Emergency,86
1,North York,Women,Room Based Capacity,Emergency,55
1,Toronto,Men,Bed Based Capacity,Emergency,78
1,Scarborough,Men,Room Based Capacity,Emergency,131
1,Toronto,Men,Bed Based Capacity,Emergency,264
1,North York,Men,Room Based Capacity,Emergency,52
1,Toronto,Men,Bed Based Capacity,Emergency,52
1,Toronto,Men,Bed Based Capacity,Emergency,46
1,Toronto,Women,Bed Based Capacity,Emergency,37
1,Toronto,Men,Bed Based Capacity,Emergency,71
1,Toronto,Men,Bed Based Capacity,Emergency,50
1,Toronto,Families,Room Based Capacity,Emergency,4
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,6
1,Toronto,Youth,Bed Based Capacity,Emergency,35
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,32
1,Toronto,Families,Room Based Capacity,Emergency,27
1,Toronto,Youth,Bed Based Capacity,Emergency,40
1,Toronto,Youth,Bed Based Capacity,Transitional,25
1,Toronto,Women,Bed Based Capacity,Emergency,30
1,Toronto,Youth,Bed Based Capacity,Emergency,31
0,Toronto,Women,Bed Based Capacity,Emergency,28
1,Toronto,Youth,Bed Based Capacity,Emergency,27
1,Etobicoke,Youth,Bed Based Capacity,Emergency,33
0,Etobicoke,Youth,Bed Based Capacity,Transitional,20
1,Scarborough,Youth,Bed Based Capacity,Emergency,10
0,Scarborough,Youth,Bed Based Capacity,Transitional,41
1,Toronto,Families,Room Based Capacity,Emergency,149
1,Toronto,Mixed Adult,Room Based Capacity,Emergency,57
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,8
1,North York,Families,Room Based Capacity,Emergency,67
0,North York,Families,Room Based Capacity,Emergency,161
1,Etobicoke,Mixed Adult,Room Based Capacity,Emergency,142
1,Toronto,Men,Room Based Capacity,Emergency,39
1,Toronto,Men,Bed Based Capacity,Emergency,42
1,Toronto,Men,Bed Based Capacity,Emergency,30
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,22
1,Toronto,Families,Room Based Capacity,Emergency,29
0,Toronto,Families,Room Based Capacity,Emergency,64
1,North York,Mixed Adult,Room Based Capacity,Emergency,12
1,North York,Mixed Adult,Room Based Capacity,Emergency,81
1,North York,Mixed Adult,Room Based Capacity,Emergency,15
1,North York,Mixed Adult,Room Based Capacity,Emergency,76
0,Toronto,Men,Bed Based Capacity,Transitional,18
1,Scarborough,Women,Room Based Capacity,Emergency,103
1,Toronto,Families,Room Based Capacity,Emergency,44
1,Toronto,Families,Room Based Capacity,Emergency,49
1,Toronto,Families,Room Based Capacity,Emergency,20
0,Toronto,Men,Bed Based Capacity,Transitional,68
0,Vaughan,Mixed Adult,Room Based Capacity,Emergency,69
0,Toronto,Men,Bed Based Capacity,Transitional,48
1,Toronto,Men,Bed Based Capacity,Emergency,101
1,Toronto,Families,Room Based Capacity,Emergency,33
0,Toronto,Mixed Adult,Bed Based Capacity,Emergency,48
1,Toronto,Mixed Adult,Bed Based Capacity,Transitional,93
1,Toronto,Men,Bed Based Capacity,Emergency,62
1,Toronto,Men,Bed Based Capacity,Emergency,67
1,Toronto,Men,Bed Based Capacity,Emergency,119
0,Toronto,Men,Bed Based Capacity,Transitional,36
1,Toronto,Men,Bed Based Capacity,Emergency,16
0,Toronto,Men,Bed Based Capacity,Emergency,53
1,Toronto,Men,Bed Based Capacity,Emergency,106
0,Toronto,Mixed Adult,Bed Based Capacity,Transitional,35
0,Toronto,Mixed Adult,Room Based Capacity,Emergency,65
1,Toronto,Women,Bed Based Capacity,Emergency,87
1,Toronto,Men,Bed Based Capacity,Emergency,28
0,Toronto,Youth,Bed Based Capacity,Transitional,2
0,Toronto,Youth,Bed Based Capacity,Emergency,94
1,Toronto,Youth,Bed Based Capacity,Emergency,30
0,Toronto,Youth,Bed Based Capacity,Transitional,28
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,78
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,119
1,Scarborough,Mixed Adult,Bed Based Capacity,Emergency,50
0,Toronto,Mixed Adult,Room Based Capacity,Emergency,83
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,62
1,Toronto,Men,Bed Based Capacity,Emergency,30
0,Toronto,Mixed Adult,Bed Based Capacity,Emergency,46
0,Toronto,Youth,Bed Based Capacity,Transitional,50
1,Toronto,Youth,Bed Based Capacity,Emergency,40
1,Scarborough,Youth,Room Based Capacity,Emergency,46
1,Toronto,Mixed Adult,Bed Based Capacity,Transitional,5
0,Toronto,Mixed Adult,Bed Based Capacity,Transitional,11
0,Toronto,Women,Bed Based Capacity,Transitional,37
0,Toronto,Women,Bed Based Capacity,Transitional,25
0,Toronto,Women,Bed Based Capacity,Emergency,52
1,Toronto,Women,Bed Based Capacity,Emergency,36
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,70
1,North York,Mixed Adult,Room Based Capacity,Emergency,264
0,Toronto,Mixed Adult,Bed Based Capacity,Emergency,70
0,Toronto,Mixed Adult,Bed Based Capacity,Emergency,119
0,Toronto,Mixed Adult,Bed Based Capacity,Emergency,60
0,Toronto,Men,Bed Based Capacity,Transitional,25
1,Toronto,Men,Bed Based Capacity,Emergency,35
0,Toronto,Men,Bed Based Capacity,Transitional,5
1,Toronto,Men,Room Based Capacity,Emergency,47
1,Toronto,Women,Bed Based Capacity,Emergency,61
0,Toronto,Mixed Adult,Bed Based Capacity,Emergency,111
1,Toronto,Men,Bed Based Capacity,Emergency,34
1,Toronto,Women,Bed Based Capacity,Emergency,66
1,Toronto,Men,Bed Based Capacity,Emergency,73
1,Scarborough,Mixed Adult,Bed Based Capacity,Emergency,89
1,Toronto,Mixed Adult,Room Based Capacity,Transitional,7
1,North York,Men,Bed Based Capacity,Emergency,278
1,North York,Women,Bed Based Capacity,Emergency,132
1,North York,Men,Bed Based Capacity,Emergency,6
1,North York,Women,Bed Based Capacity,Emergency,4
1,Scarborough,Mixed Adult,Room Based Capacity,Emergency,322
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,31
1,Toronto,Mixed Adult,Room Based Capacity,Emergency,161
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,82
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,49
1,Toronto,Youth,Bed Based Capacity,Emergency,45
1,Toronto,Youth,Bed Based Capacity,Emergency,23
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,30
1,Toronto,Men,Bed Based Capacity,Emergency,54
0,Toronto,Men,Bed Based Capacity,Transitional,17
0,Toronto,Youth,Bed Based Capacity,Emergency,12
0,Toronto,Youth,Bed Based Capacity,Emergency,15
1,Toronto,Women,Bed Based Capacity,Emergency,16
1,Toronto,Women,Bed Based Capacity,Transitional,20
1,Toronto,Women,Bed Based Capacity,Emergency,31
1,Toronto,Women,Bed Based Capacity,Emergency,39
1,Toronto,Women,Bed Based Capacity,Transitional,30
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,72
1,Toronto,Men,Room Based Capacity,Emergency,30
1,Toronto,Women,Bed Based Capacity,Emergency,30
1,Toronto,Women,Room Based Capacity,Emergency,33
1,Toronto,Families,Room Based Capacity,Transitional,77
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,94
0,Toronto,Families,Room Based Capacity,Transitional,27
1,Toronto,Women,Bed Based Capacity,Emergency,86
1,North York,Women,Room Based Capacity,Emergency,55
1,Toronto,Men,Bed Based Capacity,Emergency,78
1,Scarborough,Men,Room Based Capacity,Emergency,131
1,Toronto,Men,Bed Based Capacity,Emergency,264
1,North York,Men,Room Based Capacity,Emergency,52
1,Toronto,Men,Bed Based Capacity,Emergency,52
1,Toronto,Men,Bed Based Capacity,Emergency,46
1,Toronto,Women,Bed Based Capacity,Emergency,37
1,Toronto,Men,Bed Based Capacity,Emergency,71
1,Toronto,Men,Bed Based Capacity,Emergency,50
1,Toronto,Families,Room Based Capacity,Emergency,4
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,6
1,Toronto,Youth,Bed Based Capacity,Emergency,35
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,32
1,Toronto,Families,Room Based Capacity,Emergency,27
1,Toronto,Youth,Bed Based Capacity,Emergency,40
1,Toronto,Youth,Bed Based Capacity,Transitional,25
1,Toronto,Women,Bed Based Capacity,Emergency,30
1,Toronto,Youth,Bed Based Capacity,Emergency,31
1,Toronto,Women,Bed Based Capacity,Emergency,28
0,Toronto,Youth,Bed Based Capacity,Emergency,27
1,Etobicoke,Youth,Bed Based Capacity,Emergency,33
0,Etobicoke,Youth,Bed Based Capacity,Transitional,20
1,Scarborough,Youth,Bed Based Capacity,Emergency,10
0,Scarborough,Youth,Bed Based Capacity,Transitional,41
0,Toronto,Families,Room Based Capacity,Emergency,150
1,Toronto,Mixed Adult,Room Based Capacity,Emergency,57
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,8
1,North York,Families,Room Based Capacity,Emergency,68
1,North York,Families,Room Based Capacity,Emergency,160
1,Etobicoke,Mixed Adult,Room Based Capacity,Emergency,143
1,Toronto,Men,Room Based Capacity,Emergency,39
1,Toronto,Men,Bed Based Capacity,Emergency,42
1,Toronto,Men,Bed Based Capacity,Emergency,30
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,23
1,Toronto,Families,Room Based Capacity,Emergency,30
1,Toronto,Families,Room Based Capacity,Emergency,63
1,North York,Mixed Adult,Room Based Capacity,Emergency,12
1,North York,Mixed Adult,Room Based Capacity,Emergency,81
1,North York,Mixed Adult,Room Based Capacity,Emergency,15
0,North York,Mixed Adult,Room Based Capacity,Emergency,75
0,Toronto,Men,Bed Based Capacity,Transitional,18
1,Scarborough,Women,Room Based Capacity,Emergency,103
1,Toronto,Families,Room Based Capacity,Emergency,45
1,Toronto,Families,Room Based Capacity,Emergency,48
1,Toronto,Families,Room Based Capacity,Emergency,20
0,Toronto,Men,Bed Based Capacity,Transitional,68
0,Vaughan,Mixed Adult,Room Based Capacity,Emergency,69
0,Toronto,Men,Bed Based Capacity,Transitional,48
1,Toronto,Men,Bed Based Capacity,Emergency,100
1,Toronto,Families,Room Based Capacity,Emergency,33
0,Toronto,Mixed Adult,Bed Based Capacity,Emergency,48
1,Toronto,Mixed Adult,Bed Based Capacity,Transitional,93
1,Toronto,Men,Bed Based Capacity,Emergency,62
0,Toronto,Men,Bed Based Capacity,Emergency,67
0,Toronto,Men,Bed Based Capacity,Emergency,119
0,Toronto,Men,Bed Based Capacity,Transitional,36
1,Toronto,Men,Bed Based Capacity,Emergency,16
1,Toronto,Men,Bed Based Capacity,Emergency,53
1,Toronto,Men,Bed Based Capacity,Emergency,106
0,Toronto,Mixed Adult,Bed Based Capacity,Transitional,35
0,Toronto,Mixed Adult,Room Based Capacity,Emergency,65
1,Toronto,Women,Bed Based Capacity,Emergency,88
1,Toronto,Men,Bed Based Capacity,Emergency,28
0,Toronto,Youth,Bed Based Capacity,Transitional,2
1,Toronto,Youth,Bed Based Capacity,Emergency,94
0,Toronto,Youth,Bed Based Capacity,Emergency,30
0,Toronto,Youth,Bed Based Capacity,Transitional,28
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,78
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,119
1,Scarborough,Mixed Adult,Bed Based Capacity,Emergency,50
0,Toronto,Mixed Adult,Room Based Capacity,Emergency,83
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,61
1,Toronto,Men,Bed Based Capacity,Emergency,30
0,Toronto,Mixed Adult,Bed Based Capacity,Emergency,46
0,Toronto,Youth,Bed Based Capacity,Transitional,50
1,Toronto,Youth,Bed Based Capacity,Emergency,40
1,Scarborough,Youth,Room Based Capacity,Emergency,46
1,Toronto,Mixed Adult,Bed Based Capacity,Transitional,5
0,Toronto,Mixed Adult,Bed Based Capacity,Transitional,11
0,Toronto,Women,Bed Based Capacity,Transitional,37
0,Toronto,Women,Bed Based Capacity,Transitional,25
1,Toronto,Women,Bed Based Capacity,Emergency,52
1,Toronto,Women,Bed Based Capacity,Emergency,36
0,Toronto,Mixed Adult,Bed Based Capacity,Emergency,70
1,North York,Mixed Adult,Room Based Capacity,Emergency,262
0,Toronto,Mixed Adult,Bed Based Capacity,Emergency,70
0,Toronto,Mixed Adult,Bed Based Capacity,Emergency,118
0,Toronto,Mixed Adult,Bed Based Capacity,Emergency,60
0,Toronto,Men,Bed Based Capacity,Transitional,25
1,Toronto,Men,Bed Based Capacity,Emergency,35
0,Toronto,Men,Bed Based Capacity,Transitional,5
1,Toronto,Men,Room Based Capacity,Emergency,47
1,Toronto,Women,Bed Based Capacity,Emergency,61
0,Toronto,Mixed Adult,Bed Based Capacity,Emergency,111
1,Toronto,Men,Bed Based Capacity,Emergency,34
1,Toronto,Women,Bed Based Capacity,Emergency,66
1,Toronto,Men,Bed Based Capacity,Emergency,73
1,Scarborough,Mixed Adult,Bed Based Capacity,Emergency,89
1,Toronto,Mixed Adult,Room Based Capacity,Transitional,7
1,North York,Men,Bed Based Capacity,Emergency,278
1,North York,Women,Bed Based Capacity,Emergency,132
1,North York,Men,Bed Based Capacity,Emergency,6
0,North York,Women,Bed Based Capacity,Emergency,4
1,Scarborough,Mixed Adult,Room Based Capacity,Emergency,323
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,33
1,Toronto,Mixed Adult,Room Based Capacity,Emergency,161
0,Toronto,Mixed Adult,Bed Based Capacity,Emergency,82
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,49
1,Toronto,Youth,Bed Based Capacity,Emergency,45
1,Toronto,Youth,Bed Based Capacity,Emergency,23
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,30
1,Toronto,Men,Bed Based Capacity,Emergency,54
0,Toronto,Men,Bed Based Capacity,Transitional,17
0,Toronto,Youth,Bed Based Capacity,Emergency,12
0,Toronto,Youth,Bed Based Capacity,Emergency,15
1,Toronto,Women,Bed Based Capacity,Emergency,16
1,Toronto,Women,Bed Based Capacity,Transitional,20
1,Toronto,Women,Bed Based Capacity,Emergency,31
1,Toronto,Women,Bed Based Capacity,Emergency,39
1,Toronto,Women,Bed Based Capacity,Transitional,30
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,72
1,Toronto,Men,Room Based Capacity,Emergency,30
1,Toronto,Women,Bed Based Capacity,Emergency,30
1,Toronto,Women,Room Based Capacity,Emergency,33
1,Toronto,Families,Room Based Capacity,Transitional,77
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,94
0,Toronto,Families,Room Based Capacity,Transitional,27
0,Toronto,Women,Bed Based Capacity,Emergency,86
1,North York,Women,Room Based Capacity,Emergency,54
1,Toronto,Men,Bed Based Capacity,Emergency,78
1,Scarborough,Men,Room Based Capacity,Emergency,131
1,Toronto,Men,Bed Based Capacity,Emergency,264
1,North York,Men,Room Based Capacity,Emergency,52
1,Toronto,Men,Bed Based Capacity,Emergency,52
1,Toronto,Men,Bed Based Capacity,Emergency,46
1,Toronto,Women,Bed Based Capacity,Emergency,37
1,Toronto,Men,Bed Based Capacity,Emergency,71
0,Toronto,Men,Bed Based Capacity,Emergency,50
1,Toronto,Families,Room Based Capacity,Emergency,4
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,6
1,Toronto,Youth,Bed Based Capacity,Emergency,35
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,32
1,Toronto,Families,Room Based Capacity,Emergency,27
1,Toronto,Youth,Bed Based Capacity,Emergency,40
1,Toronto,Youth,Bed Based Capacity,Transitional,25
1,Toronto,Women,Bed Based Capacity,Emergency,30
1,Toronto,Youth,Bed Based Capacity,Emergency,31
1,Toronto,Women,Bed Based Capacity,Emergency,28
1,Toronto,Youth,Bed Based Capacity,Emergency,27
0,Etobicoke,Youth,Bed Based Capacity,Emergency,33
0,Etobicoke,Youth,Bed Based Capacity,Transitional,20
1,Scarborough,Youth,Bed Based Capacity,Emergency,10
0,Scarborough,Youth,Bed Based Capacity,Transitional,41
1,Toronto,Families,Room Based Capacity,Emergency,150
1,Toronto,Mixed Adult,Room Based Capacity,Emergency,57
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,8
1,North York,Families,Room Based Capacity,Emergency,67
1,North York,Families,Room Based Capacity,Emergency,161
1,Etobicoke,Mixed Adult,Room Based Capacity,Emergency,144
1,Toronto,Men,Room Based Capacity,Emergency,39
1,Toronto,Men,Bed Based Capacity,Emergency,42
1,Toronto,Men,Bed Based Capacity,Emergency,30
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,23
1,Toronto,Families,Room Based Capacity,Emergency,30
1,Toronto,Families,Room Based Capacity,Emergency,64
1,North York,Mixed Adult,Room Based Capacity,Emergency,12
1,North York,Mixed Adult,Room Based Capacity,Emergency,82
1,North York,Mixed Adult,Room Based Capacity,Emergency,15
1,North York,Mixed Adult,Room Based Capacity,Emergency,74
0,Toronto,Men,Bed Based Capacity,Transitional,18
1,Scarborough,Women,Room Based Capacity,Emergency,103
1,Toronto,Families,Room Based Capacity,Emergency,43
1,Toronto,Families,Room Based Capacity,Emergency,48
1,Toronto,Families,Room Based Capacity,Emergency,20
0,Toronto,Men,Bed Based Capacity,Transitional,68
0,Vaughan,Mixed Adult,Room Based Capacity,Emergency,69
0,Toronto,Men,Bed Based Capacity,Transitional,48
1,Toronto,Men,Bed Based Capacity,Emergency,101
1,Toronto,Families,Room Based Capacity,Emergency,33
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,48
0,Toronto,Mixed Adult,Bed Based Capacity,Transitional,93
1,Toronto,Men,Bed Based Capacity,Emergency,62
0,Toronto,Men,Bed Based Capacity,Emergency,67
1,Toronto,Men,Bed Based Capacity,Emergency,119
0,Toronto,Men,Bed Based Capacity,Transitional,36
1,Toronto,Men,Bed Based Capacity,Emergency,16
1,Toronto,Men,Bed Based Capacity,Emergency,53
0,Toronto,Men,Bed Based Capacity,Emergency,106
0,Toronto,Mixed Adult,Bed Based Capacity,Transitional,35
0,Toronto,Mixed Adult,Room Based Capacity,Emergency,65
1,Toronto,Women,Bed Based Capacity,Emergency,88
1,Toronto,Men,Bed Based Capacity,Emergency,28
0,Toronto,Youth,Bed Based Capacity,Transitional,2
1,Toronto,Youth,Bed Based Capacity,Emergency,94
1,Toronto,Youth,Bed Based Capacity,Emergency,30
0,Toronto,Youth,Bed Based Capacity,Transitional,28
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,78
0,Toronto,Mixed Adult,Bed Based Capacity,Emergency,119
1,Scarborough,Mixed Adult,Bed Based Capacity,Emergency,50
0,Toronto,Mixed Adult,Room Based Capacity,Emergency,83
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,61
1,Toronto,Men,Bed Based Capacity,Emergency,30
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,46
0,Toronto,Youth,Bed Based Capacity,Transitional,50
1,Toronto,Youth,Bed Based Capacity,Emergency,40
1,Scarborough,Youth,Room Based Capacity,Emergency,46
1,Toronto,Mixed Adult,Bed Based Capacity,Transitional,5
0,Toronto,Mixed Adult,Bed Based Capacity,Transitional,11
0,Toronto,Women,Bed Based Capacity,Transitional,37
0,Toronto,Women,Bed Based Capacity,Transitional,25
1,Toronto,Women,Bed Based Capacity,Emergency,52
1,Toronto,Women,Bed Based Capacity,Emergency,36
0,Toronto,Mixed Adult,Bed Based Capacity,Emergency,70
1,North York,Mixed Adult,Room Based Capacity,Emergency,264
0,Toronto,Mixed Adult,Bed Based Capacity,Emergency,70
0,Toronto,Mixed Adult,Bed Based Capacity,Emergency,116
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,60
0,Toronto,Men,Bed Based Capacity,Transitional,25
1,Toronto,Men,Bed Based Capacity,Emergency,35
0,Toronto,Men,Bed Based Capacity,Transitional,5
1,Toronto,Men,Room Based Capacity,Emergency,47
1,Toronto,Women,Bed Based Capacity,Emergency,61
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,111
1,Toronto,Men,Bed Based Capacity,Emergency,34
1,Toronto,Women,Bed Based Capacity,Emergency,66
1,Toronto,Men,Bed Based Capacity,Emergency,73
1,Scarborough,Mixed Adult,Bed Based Capacity,Emergency,89
1,Toronto,Mixed Adult,Room Based Capacity,Transitional,7
1,North York,Men,Bed Based Capacity,Emergency,278
1,North York,Women,Bed Based Capacity,Emergency,132
1,North York,Men,Bed Based Capacity,Emergency,6
1,North York,Women,Bed Based Capacity,Emergency,4
1,Scarborough,Mixed Adult,Room Based Capacity,Emergency,323
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,32
1,Toronto,Mixed Adult,Room Based Capacity,Emergency,164
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,81
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,49
1,Toronto,Youth,Bed Based Capacity,Emergency,45
1,Toronto,Youth,Bed Based Capacity,Emergency,23
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,30
1,Toronto,Men,Bed Based Capacity,Emergency,54
0,Toronto,Men,Bed Based Capacity,Transitional,17
0,Toronto,Youth,Bed Based Capacity,Emergency,12
0,Toronto,Youth,Bed Based Capacity,Emergency,15
1,Toronto,Women,Bed Based Capacity,Emergency,16
1,Toronto,Women,Bed Based Capacity,Transitional,20
1,Toronto,Women,Bed Based Capacity,Emergency,31
1,Toronto,Women,Bed Based Capacity,Emergency,39
1,Toronto,Women,Bed Based Capacity,Transitional,30
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,72
1,Toronto,Men,Room Based Capacity,Emergency,30
1,Toronto,Women,Bed Based Capacity,Emergency,30
1,Toronto,Women,Room Based Capacity,Emergency,33
0,Toronto,Families,Room Based Capacity,Transitional,77
1,Toronto,Mixed Adult,Bed Based Capacity,Emergency,94
0,Toronto,Families,Room Based Capacity,Transitional,27
